CUSTOMER_ID,TARGET,AGE,GENDER,BALANCE,OCCUPATION,SCR,HOLDING PERIOD,ACCOUNT TYPE,LENGTH OF RELATIONSHIP IN MONTHS,Number of Credit Transactions,Number of debit transactions,Total No. of Transaction,No. of Branch Cash Withdrawal Transactions,No. of ATM Debit Transactions,No. of Net Debit Transactions,No. of Mobile Banking Debit Transactions,No. of Cheque Debit Transactions,"Has Credit Card - 1: Yes, 0: No",Amount Withdrawn from ATM,Amount cash withdrawn from Branch ,Amount debited by Cheque Transactions,Amount debited by Net Transactions,Amount debited by Mobile Banking Transactions,Total Amount Debited,Has any banking charges,Amount charged by way of the Other Bank ATM usage,Amount charged by way Minimum Balance not maintained,Amount charged by way Inward Cheque Bounce,Amount charged by way Outward Cheque Bounce,Avg. Amt withdrawn per ATM Transaction,Avg. Amt withdrawn per Cash Withdrawal Transaction,Avg. Amt debited per Cheque Transaction,Avg. Amt debited per Net Transaction,Avg. Amt debited per Mobile Banking Transaction,"Has Nominee - 1: Yes, 0: No","Has any earlier loan - 1: Yes, 0: No"
2808,1,30,MALE,25481.82,SELF EMPLOYEE,499,9,SA,74,1,1,2,0,0,0,0,1,0,0,0,77670,0,0,77670,0,0,0,0,0,0,0,77670,0,0,1,0
6384,1,31,OTHER,14411.51,PROFESSOR,618,1,CA,145,17,22,39,4,2,7,1,8,0,11300,636680,378500,93147,25651,1175578,0,0,0,0,0,20800,159170,47312.5,13306.71,25651,1,1
17841,1,53,MALE,34474.55,SELF EMPLOYEE,809,1,SA,55,8,6,14,2,1,1,0,2,1,19200,756420,41810,840291,0,1643221,0,0,0,0,0,4700,378210,20905,840291,0,1,0
10803,1,51,MALE,1366564.05,PROFESSOR,796,13,SA,135,4,3,7,1,0,0,0,2,1,0,789120,80510,0,0,869630,0,0,0,0,0,0,789120,40255,0,0,1,1
7231,1,35,MALE,157722.82,PROFESSOR,720,7,CA,197,67,66,133,0,10,20,24,12,1,2500,0,4471280,345457,142402,5060439,1,70,0,0,0,10130,0,372606.67,17272.85,5933.42,0,0
8894,1,53,MALE,459113.32,SALARIED EMPLOYEE,882,16,SA,110,16,15,31,2,2,4,1,6,1,0,258490,149900,15901,173379,643170,0,0,0,0,0,22750,129245,24983.33,3975.25,173379,1,1
54,1,53,FEMALE,5677834.48,DEPENDANTS,196,4,SA,46,2,5,7,2,1,1,0,1,0,10500,512340,0,389787,0,919627,0,0,0,0,0,17500,256170,0,389787,0,1,1
13455,1,46,MALE,483701.66,PROFESSOR,280,11,SA,130,8,5,13,0,1,0,0,4,0,5200,0,11480,0,0,25680,0,0,0,0,0,14200,0,2870,0,0,1,1
11627,1,26,MALE,112159.38,PROFESSOR,403,23,CA,94,70,4,74,2,2,0,0,0,0,0,451430,0,0,0,454630,1,0,0,0,0,1600,225715,0,0,0,1,1
12305,1,43,MALE,44297.92,DEPENDANTS,114,3,SA,182,6,6,12,1,1,0,0,4,1,1500,292290,66289,0,0,374279,1,0,0,1,0,15700,292290,16572.25,0,0,1,1
14125,1,33,FEMALE,135892.63,SELF EMPLOYEE,833,19,CA,68,12,14,26,1,2,4,1,6,1,0,739670,430370,265191,130037,1595168,1,0,0,0,0,14950,739670,71728.33,66297.75,130037,1,0
1528,1,51,MALE,331342.55,PROFESSOR,390,21,SA,154,2,1,3,1,0,0,0,0,0,35400,453300,0,0,0,453300,0,0,0,0,0,0,453300,0,0,0,0,1
10334,1,29,MALE,9540.22,SALARIED EMPLOYEE,222,12,SA,40,11,5,16,2,1,1,0,1,1,0,248880,0,815270,0,1078550,0,0,0,0,0,14400,124440,0,815270,0,0,1
18451,1,37,MALE,5105.86,PROFESSOR,583,3,CA,112,44,18,62,8,2,0,1,7,0,1000,955890,204760,0,174474,1378124,0,0,0,0,0,21500,119486.25,29251.43,0,174474,1,0
3259,1,39,MALE,41132.13,DEPENDANTS,894,5,CA,47,16,21,37,10,2,6,1,2,0,0,656380,60910,827841.8,154075,1715706.8,0,0,0,0,0,8250,65638,30455,137973.63,154075,1,1
19316,1,52,MALE,20212.04,SALARIED EMPLOYEE,154,7,CA,67,6,3,9,2,0,0,0,1,0,44700,720330,0,0,0,720330,0,0,0,0,0,0,360165,0,0,0,1,0
13078,1,37,MALE,25570.39,SELF EMPLOYEE,236,18,SA,40,2,2,4,0,0,0,0,2,0,13500,0,17500,0,0,17500,0,0,0,0,0,0,0,8750,0,0,1,0
11369,1,38,FEMALE,6073.04,SALARIED EMPLOYEE,444,5,CA,194,23,30,53,3,3,9,2,13,1,16300,145040,1187400,520924,982,1864346,0,0,0,0,0,3333.33,48346.67,91338.46,57880.44,491,1,1
15003,1,26,MALE,2088937.85,SALARIED EMPLOYEE,298,17,CA,81,28,4,32,3,0,0,1,0,0,8200,848520,0,0,117689,966209,0,0,0,0,0,0,282840,0,0,117689,1,1
3549,1,52,MALE,1413177.5,PROFESSOR,799,15,CA,125,59,3,62,1,1,0,0,1,1,15600,368180,67710,0,0,436290,0,0,0,0,0,400,368180,67710,0,0,1,0
2006,1,43,MALE,255854.86,DEPENDANTS,716,1,SA,100,11,5,16,1,1,1,0,2,1,0,181940,63900,832793,0,1081233,0,0,0,0,0,2600,181940,31950,832793,0,1,0
